"unique_reserve","closed_n","closed_mean","closed_sd","closed_se","open_n","open_mean","open_sd","open_se","es_ra","var","variable"
"MNP-13-1019",51,1.47058823529412,1.72456303075847,0.241487126562206,50,1.3,1.09264703862703,0.154523626091314,0.123298216344494,0.041094061747776,"reef associated"
"MNP-18-1081",92,1.68478260869565,1.42141662680122,0.14819292753422,101,0.633663366336634,0.845254663130914,0.0841059825013675,0.977873973351794,0.0253540915948646,"reef associated"
"MNP-18-1084",15,1.2,0.861891607371335,0.222539456105675,103,0.611650485436893,0.782567540263006,0.0771086709562154,0.673915818632058,0.0502843112553664,"reef associated"
"MNP-23-1164",19,0.684210526315789,0.88522637273985,0.203084857943688,24,0.208333333333333,0.508977377704051,0.103894572166229,1.18912629620894,0.336795586427693,"reef associated"
"Namena",31,1.32258064516129,1.10716143882132,0.198852064611902,28,0.25,0.440958551844098,0.0833333333333333,1.66587922333905,0.133716703020689,"reef associated"
"Namuri",7,0.714285714285714,1.11269728052837,0.420560041253707,5,0.4,0.547722557505166,0.244948974278318,0.579818495252942,0.721666666666667,"reef associated"
"Nasue",17,0.352941176470588,0.492592183071889,0.119471153009352,6,0.333333333333333,0.816496580927726,0.333333333333333,0.0571584138399488,1.11458333333333,"reef associated"
"Ngeruangel",58,1.39655172413793,1.34997927433621,0.177260962947645,62,0.919354838709677,0.928569975766089,0.117928504850857,0.418089261336561,0.0325646073157692,"reef associated"
"North",5,0.0169,0.13,0.0169,14,0.0169,0.13,0.0169,0,16.0608622147084,"reef associated"
"North Eustatius",4,0.5169,0.577350269189626,0.288675134594813,8,0.5169,0.755928946018454,0.267261241912424,0,0.579229939673416,"reef associated"
"North Monte",11,0.925990909090909,0.831209414593634,0.250619068219822,11,0.289627272727273,0.467099366496914,0.140835758043906,1.16226958734205,0.30970536696866,"reef associated"
"Oracabessa",4,0.0169,0.13,0.0169,8,0.0169,0.13,0.0169,0,22.189349112426,"reef associated"
"Osprey",6,0.666666666666667,0.516397779494322,0.210818510677892,9,0.333333333333333,0.5,0.166666666666667,0.693147180559945,0.35,"reef associated"
"Palasar",40,1.05,0.782828533473655,0.123776059157306,40,0.425,0.635993065596772,0.100559333167934,0.904456274227152,0.0698805414574075,"reef associated"
"Pelican",10,0.5169,0.849836585598797,0.268741924943285,6,0.0169,0.13,0.0169,3.42053581027297,10.1322402440369,"reef associated"
"Pelsaert",9,0.111111111111111,0.333333333333333,0.111111111111111,21,0.0952380952380952,0.300792603759119,0.0656383273909058,0.154150679827258,1.475,"reef associated"
"Petit Terre",48,0.0585666666666667,0.201940936523459,0.029147663515556,41,0.0169,0.13,0.0169,1.24285208459591,1.69089856225649,"reef associated"
"Pigeon Island",49,0.159757142857143,0.353553390593274,0.0505076272276105,54,0.0169,0.13,0.0169,2.2463411830498,1.19572275797801,"reef associated"
"Saba",20,0.3,0.470162345981627,0.105131496607569,52,0.230769230769231,0.425435629811517,0.0589973068344131,0.262364264467491,0.188166494668043,"reef associated"
"Sandals Boscobel",4,0.0169,0.13,0.0169,6,0.0169,0.13,0.0169,0,24.65483234714,"reef associated"
"Santo Domingo",40,0.0419,0.158113883008419,0.025,44,0.0169,0.13,0.0169,0.907972204999064,1.70081065478808,"reef associated"
"Sipadan",21,2.87404285714286,3.07059789431495,0.67005939426049,64,0.0169,0.13,0.0169,5.13616135661785,0.978911290715257,"reef associated"
"South Eustatius",19,0.315789473684211,0.477566932940919,0.109561368392954,39,0.358974358974359,0.58432054501381,0.0935661701034437,-0.128175193423998,0.188308071766718,"reef associated"
"South Monte",29,0.482758620689655,0.911070393045315,0.169181524739649,29,0.620689655172414,0.862462964150937,0.160155351793191,-0.251314428280906,0.189391894323867,"reef associated"
"South Muiron",8,1.125,0.640869944461656,0.226581741793741,19,0.736842105263158,0.805681579172283,0.184836030751802,0.423164685207565,0.103489543965734,"reef associated"
"SR-18-2007",15,0.133333333333333,0.351865775274498,0.0908513525158996,14,0.357142857142857,0.497245158098847,0.132894358488438,-0.985283603361107,0.602747252747253,"reef associated"
"St Maarten French",36,0.333333333333333,0.792824967172092,0.132137494528682,42,0.119047619047619,0.327770067561568,0.0505760194420511,1.02961941718116,0.337630662020906,"reef associated"
"Sunday Island",4,0.75,0.957427107756338,0.478713553878169,5,0.2,0.447213595499958,0.2,1.32175583998232,1.40740740740741,"reef associated"
"Tanikely",42,0.0952380952380952,0.370202568775516,0.0571234965266339,50,0.12,0.328260722659316,0.0464230765979198,-0.231111720963387,0.509415961506554,"reef associated"
"Techobanine",8,0.0169,0.13,0.0169,50,0.1569,0.350509832753866,0.0495695759225642,-2.22829503780996,7.49626210904821,"reef associated"
"Tetaiuo",11,3.18181818181818,3.40053471731085,1.02529979489976,30,1.56666666666667,2.22343836454253,0.405942449160779,0.70850256864314,0.170975867707724,"reef associated"
"Tiahura",7,3.85714285714286,3.23669437485075,1.22335548368239,36,4.02777777777778,4.05311951190411,0.675519918650684,-0.0432880870154486,0.128722840131422,"reef associated"
"Tubbataha",89,1.04494382022472,1.52933521177987,0.162109208230574,59,0.0169491525423729,0.130188910980824,0.0169491525423729,4.12150056732684,1.02406741714754,"reef associated"
"Wallabi",9,0.222222222222222,0.666666666666667,0.222222222222222,14,0.0714285714285714,0.267261241912424,0.0714285714285714,1.13497993283898,2,"reef associated"
"Winderabandi",6,0.5,0.547722557505166,0.223606797749979,4,0.5,1,0.5,0,1.2,"reef associated"
