"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Grav_Total_Plus_min","log_mpa_area","sqrt_mpa_age","Average.of.substrate_relief_mean","sqrt_live_coral","sqrt_Average.of.depth","mpa_isolation","mpa_compliance","Shark_Sanctuary","location_name"
"reef associated.Average.of.substrate_relief_mean+log_mpa_area+Shark_Sanctuary","Average.of.substrate_relief_mean+log_mpa_area+Shark_Sanctuary",214.361082425721,225.176623219837,0.00695,NA,4.49,0,16.077,16.834,0,0,0,1,0,1,0,0,0,0,1,0
"reef associated.log_mpa_area+mpa_compliance+Shark_Sanctuary","log_mpa_area+mpa_compliance+Shark_Sanctuary",214.444728301883,226.878397799934,0.00033,NA,5.42,0,16.161,18.536,0,0,0,1,0,0,0,0,0,1,1,0
"reef associated.log_mpa_area+sqrt_Average.of.depth+sqrt_live_coral","log_mpa_area+sqrt_Average.of.depth+sqrt_live_coral",214.46454755102,225.315133910394,0.00554,NA,4.51,0,16.181,16.973,0,0,0,1,0,0,1,1,0,0,0,0
"reef associated.mpa_compliance+mpa_isolation+Shark_Sanctuary","mpa_compliance+mpa_isolation+Shark_Sanctuary",214.510314134289,227.906862845716,0.01574,NA,6,0,16.227,19.564,0,0,0,0,0,0,0,0,1,1,1,0
"reef associated.log_mpa_area+mpa_isolation+sqrt_live_coral","log_mpa_area+mpa_isolation+sqrt_live_coral",214.528357739995,227.003774714523,0.05166,NA,5.45,0,16.245,18.661,0,0,0,1,0,0,1,0,1,0,0,0
"reef associated.log_mpa_area+mpa_isolation+sqrt_Average.of.depth","log_mpa_area+mpa_isolation+sqrt_Average.of.depth",214.5745432694,226.953139662707,0.06649,NA,5.39,0,16.291,18.611,0,0,0,1,0,0,0,1,1,0,0,0
"reef associated.Average.of.substrate_relief_mean+log_mpa_area+mpa_compliance","Average.of.substrate_relief_mean+log_mpa_area+mpa_compliance",214.599635576315,227.509006238641,0.00103,NA,5.71,0,16.316,19.166,0,0,0,1,0,1,0,0,0,1,0,0
"reef associated.Average.of.substrate_relief_mean+mpa_compliance+Shark_Sanctuary","Average.of.substrate_relief_mean+mpa_compliance+Shark_Sanctuary",214.620613542961,226.749840197709,0.00122,NA,5.24,0,16.337,18.407,0,0,0,0,0,1,0,0,0,1,1,0
"reef associated.mpa_compliance+mpa_isolation+sqrt_Average.of.depth","mpa_compliance+mpa_isolation+sqrt_Average.of.depth",214.652136151943,228.048684863663,0.01202,NA,6,0,16.368,19.706,0,0,0,0,0,0,0,1,1,1,0,0
"reef associated.mpa_compliance+mpa_isolation+sqrt_live_coral","mpa_compliance+mpa_isolation+sqrt_live_coral",214.675262573877,228.071811285505,0.0057,NA,6,0,16.392,19.729,0,0,0,0,0,0,1,0,1,1,0,0
"reef associated.log_mpa_area+mpa_compliance+sqrt_mpa_age","log_mpa_area+mpa_compliance+sqrt_mpa_age",214.713162272879,227.369495578548,0.01323,NA,5.55,0,16.429,19.027,0,0,0,1,1,0,0,0,0,1,0,0
"reef associated.sqrt_Average.of.depth+sqrt_live_coral+sqrt_mpa_age","sqrt_Average.of.depth+sqrt_live_coral+sqrt_mpa_age",214.840389462291,224.788663172528,0.01015,NA,4,0,16.557,16.446,0,0,0,0,1,0,1,1,0,0,0,0
"reef associated.log_mpa_area+mpa_compliance+sqrt_Average.of.depth","log_mpa_area+mpa_compliance+sqrt_Average.of.depth",214.845547949397,227.078079049533,0.00017,NA,5.3,0,16.562,18.735,0,0,0,1,0,0,0,1,0,1,0,0
"reef associated.mpa_compliance+sqrt_live_coral+sqrt_mpa_age","mpa_compliance+sqrt_live_coral+sqrt_mpa_age",214.988745668183,226.70294530697,1e-05,NA,5,0,16.705,18.36,0,0,0,0,1,0,1,0,0,1,0,0
"reef associated.log_mpa_area+mpa_compliance+mpa_isolation","log_mpa_area+mpa_compliance+mpa_isolation",215.331622552635,229.03342015355,0.0187,NA,6.19,0,17.048,20.691,0,0,0,1,0,0,0,0,1,1,0,0
"reef associated.mpa_compliance+sqrt_Average.of.depth+sqrt_mpa_age","mpa_compliance+sqrt_Average.of.depth+sqrt_mpa_age",215.440789497934,227.154989136936,2e-05,NA,5,0,17.157,18.812,0,0,0,0,1,0,0,1,0,1,0,0
