unique_id,unique_reserve,protection_status,depth,visibility,relief_mean,biotic_reef,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_105,Ashmore,closed,32.6,10,0.2,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_070,Ashmore,closed,33,10,0.1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_078,Ashmore,closed,34,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_084,Ashmore,closed,34,10,0.9,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_098,Ashmore,closed,34,10,0.0833,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_027,Ashmore,closed,34,10,2.4,20,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_104,Ashmore,closed,34,10,1.7143,15,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_080,Ashmore,closed,35,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_082,Ashmore,closed,35,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_101,Ashmore,closed,35,10,0.05,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_110,Ashmore,closed,35,10,0.0769,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_071,Ashmore,closed,36,10,1.5,70,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_076,Ashmore,closed,36,10,0,10,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_099,Ashmore,closed,36,10,0.1875,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_100,Ashmore,closed,36,10,0.1333,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_103,Ashmore,closed,36,10,0.0667,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_018,Ashmore,closed,36.6,10,1.4,10,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_074,Ashmore,closed,37,10,0.3,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_083,Ashmore,closed,37,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_028,Ashmore,closed,37,10,0.1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_006,Ashmore,closed,38,10,0.5,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_019,Ashmore,closed,38.1,10,1,40,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_020,Ashmore,closed,38.1,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_041,Ashmore,closed,39.5,10,1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_040,Ashmore,closed,39.7,10,1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_042,Ashmore,closed,40.7,10,1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_009,Ashmore,closed,46,10,1.5,33,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_010,Ashmore,closed,50,10,1.7,100,,,,,,,,,,,
FP_2016_AU-I_02_SRN_050,Ashmore,open,4.5,7,2.6667,36,,,,,,,,,,,
FP_2016_AU-I_02_SRS_008,Ashmore,open,4.8,10,3,100,,,,,,,,,,,
FP_2016_AU-I_02_SRN_038,Ashmore,open,5,9,2.4667,0,,,,,,,,,,,
FP_2016_AU-I_02_SRN_034,Ashmore,open,5.4,10,3,0,,,,,,,,,,,
FP_2016_AU-I_02_SRN_045,Ashmore,open,7.2,9,3.75,30,,,,,,,,,,,
FP_2016_AU-I_02_SRN_035,Ashmore,open,7.3,10,3.4,55,,,,,,,,,,,
FP_2016_AU-I_02_SRS_042,Ashmore,open,7.3,10,3.7,10,,,,,,,,,,,
FP_2016_AU-I_02_SRN_044,Ashmore,open,7.5,9,2.95,40,,,,,,,,,,,
FP_2016_AU-I_02_SRN_032,Ashmore,open,7.6,10,2.9,25,,,,,,,,,,,
FP_2016_AU-I_02_SRN_021,Ashmore,open,7.7,10,3.5,100,,,,,,,,,,,
FP_2016_AU-I_02_SRS_044,Ashmore,open,7.7,10,3.6429,7,,,,,,,,,,,
FP_2016_AU-I_02_SRS_047,Ashmore,open,8.1,10,3.4375,20,,,,,,,,,,,
FP_2016_AU-I_02_SRS_027,Ashmore,open,8.4,5,4.1,75,,,,,,,,,,,
FP_2016_AU-I_02_SRN_012,Ashmore,open,8.5,10,3.5,50,,,,,,,,,,,
FP_2016_AU-I_02_SRN_042,Ashmore,open,8.6,9,3.1875,20,,,,,,,,,,,
