unique_reserve,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,Average of set_latitude,Average of set_longitude,Min of set_date,mpa_age,region_name,location_name,site,location_id,trip_year,PI,Average of depth,Average of visibility,Average of substrate_relief_mean,Average of set_productivity_2017ave,Average of hard_coral,Average of unconsolidated,Average of macroalgae,Average of soft_coral,Average of consolidated,Average of local_population_2010,Average of local_population_2015,Average of population_proporationaldifference_2010.15,Live_Coral,Shark_Protection_Status,Shark_fishing_restrictions,Shark_fishing_restrictions_cat,Shark_gears,Average of set_productivity_2017ave,Average of local_population_2010,Average of local_population_2015,Average of population_proporationaldifference_2010.15,Average of Grav_NC,Average of Grav_Total,Average of Grav_Cities,Average of Grav_NP,trip_id,Fisheries_Management
Abrolhos,913,1983,<20km to next reef,high,-17.96898243,-38.70319914,23/01/2018,35.08493151,Western Atlantic,Brazil,Abrolhos,75,2018,Chapman,14.56451613,4.387096774,1.212001695,0.32036,1.9,28.08333333,35.21666667,1.666666667,24.65,620057.3729,669802.8831,0.080361873,3.738095238,Restricted,Species,Limited,Hook & Line; Drumline; Longline; Seine; Gillnet; Trawl; Spear; Trap,0.32036,620057.3729,669802.8831,0.080361873,0.637553921,22.32258065,0.637553921,0.067485128,FP_2018_BR_01,Ineffective
Fernando,112.7,1988,continuous,high,-3.835548906,-32.42236304,21/07/2017,29.57260274,Western Atlantic,Brazil,Fernando,75,2017,Chapman,17.97125,7.87804878,2.032653659,0.116371818,0.682926829,42.92682927,5.073170732,0,51.17073171,3761.071986,4257.593212,0.132015879,0,Restricted,Species; Gear,Moderate,Hook & Line,0.116371818,3761.071986,4257.593212,0.132015879,0.612382124,26,0.984994237,1.406659762,FP_2015_BS_02,Effective
Corals Rosario and San Bernardo,1200,1985,<20km to next reef,medium,10.20705827,-75.74709158,23/09/2016,31.74794521,Western Atlantic,Colombia,Colombia,109,2016,Heithaus,12.30792079,6.689119171,2.235215625,0.20287842,32.48186528,34.08290155,0.896373057,7.243523316,21.86528497,4968929.414,5614596.1,0.129195284,39.7253886,Restricted,Gear,Limited,Hook & Line; Spear; Trap; Gillnet; Seine; Longline; Cyanide; Blast,0.202870862,4966150.103,5611162.266,0.129133794,45.42043093,203.3366834,103.3073331,0.002604614,FP_2016_CO_01,Ineffective
Santo Domingo,26,1986,>20km to next reef,medium,18.4252,-69.68394425,14/07/2017,31.55342466,Western Atlantic,Dominican Republic,Dominican Republic,122,2017,Heithaus,16.30952381,9.049180328,1.572646667,1.072729894,5.672131148,44.72131148,1.967213115,11.04918033,32.01639344,9363110.218,10695357.8,0.142298832,16.72131148,Closed,Area,Limited,Hook & Line; Gillnet; Longline; Trawl; Seine,1.072729894,9363110.218,10695357.8,0.142298832,2439.789867,2804.833333,2644.560467,29.61256536,FP_2017_DR_01,None
Curacao,6,1987,continuous,medium,12.04205761,-68.79161392,24/10/2016,29.83287671,Western Atlantic,Dutch Caribbean,Curacao,110,2016,Heithaus,33.4,9.318584071,2.366230556,0.228425169,8.37962963,29.37037037,0,27.03703704,31.9537037,1066763.572,1166106.434,0.093129473,35.41666667,Restricted,Size,Limited,Hook & Line; Gillnet; Trawl; Trap; Seine,0.228926179,1066946.681,1166313.409,0.093135994,578.5310915,737.0540541,609.1429559,80.75150218,FP_2016_DC_01,Ineffective
Dutch Reserve,31,2011,>20km to next reef,medium,17.98310463,-63.05164074,16/03/2015,4.205479452,Western Atlantic,Dutch Caribbean,Saba,110,2015,Heithaus,28.9,9.213333333,1.538881944,0.145184735,0,40.80555556,3.888888889,5.652777778,13.61111111,266267.853,284685.9319,0.069438034,5.652777778,Closed,Area,Limited,Hook & Line; Trap,0.145184735,266267.853,284685.9319,0.069438034,0.366521069,147.25,1.902514897,3.865432027,L_2015_DC_01,None
North Eustatius,27.3,1996,continuous,medium,17.51766146,-63.01288229,26/03/2013,17.24383562,Western Atlantic,Dutch Caribbean,Saba,110,2018,Heithaus,17.6,9.294117647,2.255626667,0.16171875,3.733333333,42.26666667,0,34.46666667,17.5,347852.3533,373466.871,0.073737224,38.2,Restricted,Gear,Limited,Hook & Line; Spear; Trap,0.16171875,347852.3533,373466.871,0.073737224,2.971368888,19.38235294,4.329508357,0.040466192,L_2013_DC_01,Effective
Saba,6,1999,>20km to next reef,high,17.62310167,-63.259065,24/07/2012,13.56986301,Western Atlantic,Dutch Caribbean,Saba,110,2012,Heithaus,24.3,9.35,2.349542667,0.150580729,0.306666667,45.41333333,0,19.74666667,29.85333333,357962.822,379029.2719,0.058810341,20.05333333,Closed,Area,Limited,None,0.150580729,357962.822,379029.2719,0.058810341,0.58984722,11.01086957,2.029046276,0.00238087,L_2012_DC_01,None
South Eustatius,27.3,1996,continuous,medium,17.46321667,-62.97785753,4/03/2013,17.18356164,Western Atlantic,Dutch Caribbean,Saba,110,2018,Heithaus,17,9.333333333,2.532764706,0.16171875,0.104477612,20.97014925,0,39.20895522,36.34328358,342694.3274,368430.5523,0.075111322,39.31343284,Restricted,Gear,Limited,Hook & Line; Spear; Trap,0.16171875,342694.3274,368430.5523,0.075111322,3.912894042,22.8,5.258294721,0.122830759,L_2013_DC_01,Effective
St Maarten French,29,1998,<20km to next reef,medium,18.08713205,-63.00862692,4/03/2015,17.18082192,Western Atlantic,Dutch Caribbean,Saba,110,2015,Heithaus,22.47,7.719512195,1.683730769,0.139113715,0,30.81818182,3.194805195,3.584415584,28.49350649,246537.2813,265639.935,0.078246959,3.584415584,Restricted,Gear; Species; Bag,Moderate,Longline; Gillnet; Spear; Hook & Line; Seine; Trap,0.139113715,246537.2813,265639.935,0.078246959,0.68087315,99.2,2.210457008,1.700128542,L_2015_DC_01,Effective
Namena,60.6,1997,continuous,medium,-17.09424101,179.0959101,17/05/2016,19.38630137,Pacific,Fiji,Kubulau,68,2016,Harvey,16.16216216,8.783333333,3.191591379,0.382195258,28.63793103,17.31034483,0,0.603448276,51.67241379,382409.8485,387143.6009,0.012258114,29.24137931,Restricted,Area; Entrants; Species,Moderate,Hook & Line; Drumline; Longline; Gillnet,0.382526818,381173.5415,385803.5892,0.012009292,0.683814538,7.25,0.683814538,0.015364659,FP_2016_FJ_01,Effective
